msisdn,imei_tac,brand_name,model_name,os_name,os_vendor
c0e80ecc67484f293db0cf723146c9d6,7ce90a5469d6a07dc8c770956cc29482,SAMSUNG,GALAXY J1 ACE (SM-J111F),Android,Google
2bce0cd398cbc9b2478ecaf1ef62b2c1,110f73736e1e1fe0ef5cb8a581bc0ec2,WALTON,OLVIO L22,,
d7b8b49fafb853a3aef0c20d49bca845,ddf90b7c597d7714637ecde342a8c609,LG,W1500,LG OS,LG
d628f3b548dc74c5fde92323c61c819e,c395eac49569e6741faf98284aef725c,SYMPHONY,B13,,
e33e767a53a8dceadebc3354221bbf6a,395b163b071e5880e66ac57c5768673e,SAMSUNG,METRO SM-B350ED,Samsung OS,Samsung
72f78dc2ae7857045b4551483b75858b,d64cd8af0738cb79bbe21da1558201fc,HIMAX,"H20, H21, H111, H222",Android,Google
dac6fe711e7f592b4c695175be5a552b,0b3697b11e5ebf9e71988274e12f8ba0,SAMSUNG,GALAXY ACE NXT (SM-G313HU),Android,Google
13aa941a42ab4c29d598a0c4fe1a981b,37efb3b8fbe269d7a3c62001c7e45fc5,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
8ed54c77279bfe313842edab355d68f6,a214f011d36d222d6930629d0306198b,ITEL,IT5231,,
b15e7a71a459ba9a48ef6526c820706d,8a0150c6a9e697d20454931f423b29b0,NOKIA,3 DS (TA-1032),Android,Google
c93094db10fe8c60cfc1160edf730c48,61cd8b39ab39ecac08f5c8f90cb145f0,SYMPHONY,D52I,,
b060a4c25f9d868484af7b6fd3cd05d3,88e581b67db0c460c8ba66bbec4d0f7f,SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS
c7804272216fd31734ac7490da9bdc31,3058d7c7b298c97da6a53eaffc0e2c2c,PHONE CARE AXIOM TELECOM,B104 JOY 3,,
3d10eab1c42bc039bc181376eb27072b,638748d45c096536851b5564a1122798,SYMPHONY,D22,,
